feature_1,feature_2,feature_3,feature_4,feature_5,target
0.2934162385,-0.9455987131,-0.4211051468,0.4068160209,0.5256618324,-82.15466656
-0.8360840806,-0.1892280393,-0.7764026178,-1.053831244,0.5979968519,-48.89796018
0.2364251145,0.1328360181,-0.1477229822,0.6998539626,-0.1873641631,77.2703707
0.1753118124,0.1431942402,-0.5811109561,-0.1221069332,-1.292168066,-2.988580813
-1.693010968,0.5427118717,-2.798729419,-0.686723043,1.244076827,-37.59672212
-1.055329251,-0.8748071827,0.5807531763,-0.7735409383,1.070887901,-122.4052632
-0.8247070362,0.4994269128,1.293280636,-0.2406707051,-0.419135545,1.413740959
-1.936602353,0.5837080913,-0.5211346807,-0.6317243809,-1.03072855,-13.30654265
0.6474307965,-0.265401169,0.3270796043,0.4578288666,-1.757592124,-25.754698
-1.133029236,-0.8391316395,-0.5478093687,0.5517679682,-0.6391728399,-57.07775437
-2.015733856,0.1026354956,-0.1362817973,-0.02166611946,0.7435109047,-41.9646942
0.9957054871,0.4044326896,-0.6509035465,0.1474222433,-0.3735535772,78.08048569
-2.200223257,0.09443779306,-2.430326522,-0.6929140822,-0.6684517414,-93.63936149
-0.3007699568,-0.8114628262,-1.937110984,-0.9552166483,0.4449392033,-133.317638
0.1773150393,-1.464889305,0.5921576703,-0.7686788913,1.161264634,-159.5908153
-0.08315764287,0.50867947,-0.9233583627,-0.09697869586,-0.1831985627,25.32781523
0.8547404909,-0.9523286063,-0.04700696782,-0.4543863767,0.6350961041,-59.74138549
-1.044388919,-0.6562315718,-0.6300978747,1.134075854,-0.4478741953,8.007755826
-0.625493069,0.7882492359,-0.5397303689,0.007926176844,0.512637903,13.12438289
-0.3295918176,0.6183108261,-0.2051467304,0.4855968625,0.1386798275,50.72980227
-0.9398831939,-0.1384717074,-0.2909457096,-0.37973377,1.277449748,-56.41028125
-0.1643417064,2.282221947,0.6460081688,0.3450410383,0.6152536783,244.6662487
-0.8883647854,-1.643189509,-0.4105438968,0.4835149191,-1.640637603,-139.5338956
0.6795593235,-1.332131787,-0.7887159446,-1.028697219,0.7714146674,-172.5995028
1.202000972,1.708671687,0.6388321796,0.01843334672,-1.361101914,209.467845
0.7517058128,1.565283021,-0.08059767658,-0.1551694313,0.02356470119,177.7029415
-0.06769884089,0.1395944404,-1.175735937,-0.5058153953,0.9890577314,27.29216996
-2.159216655,0.3564378033,1.74014591,-0.1088719554,-0.4001825816,-34.38300171
0.7131869908,-1.482653004,-0.35938725,0.9041550191,-0.7264037072,-50.97677961
1.856229733,1.354485362,0.9386109354,0.9432043663,0.3102177927,217.976813
0.5887838506,-1.955678004,0.7006183655,0.0113432735,0.1419795808,-174.7438398
-0.201632714,-0.3617520333,-0.1510203254,-2.337034188,0.584093669,-130.1860152
0.5886622721,0.5220446765,0.194775167,-0.7608147163,-1.155218665,17.35120399
-0.2226296352,-0.1707230181,0.4015300173,-0.3405702261,-2.096750081,-16.90488388
-1.163273484,-1.128989358,-1.497345481,0.1691622274,0.06907313761,-151.777176
-0.1442712081,0.3177154917,-0.1090835359,1.493484911,-0.3582085163,79.19716953
0.342792213,-1.141430476,0.04855499489,0.0378261726,-0.4546622968,-89.52915411
0.9159866395,1.416700756,1.732965549,0.6855382005,0.7948418614,192.0116943
0.8775430855,0.5926790147,-0.478451687,-0.7666409317,2.357521726,64.52937294
-0.8768566483,-0.8806608391,0.2998471453,-0.5071774459,-0.2486833184,-95.44106952
-0.8530317612,-0.5414135597,0.4827796335,-0.6039400459,-0.8490150994,-85.82155199
-0.7001740272,-1.041881433,1.972739377,-1.241206999,-1.388752961,-145.4809993
0.587109621,0.1042957697,-0.378967683,-0.4156270649,-0.1854336481,30.75497405
-0.3388081075,-1.309734597,0.6898598569,0.3576978496,-2.083362974,-73.74052128
-0.3986304989,-1.535419674,1.48076264,-1.277362009,0.7511804165,-173.7796733
-0.793147109,-0.807509361,1.786170742,-0.5281130957,-0.5232739587,-101.7139775
0.210107608,-3.314843701,-1.43970421,-0.6313559621,0.4116079169,-379.8297939
-0.3661871457,-0.1803420888,0.2319468763,0.8179854583,-1.395928651,30.51801817
-0.5897638883,0.4175150519,-0.5370026146,-0.5122731533,1.992090786,23.08755982
0.918723811,1.230523609,0.3285666027,-0.2022059311,1.7623838,86.77782134
-2.760468379,0.3870348266,0.3959995371,-0.446538902,0.5672556938,-69.83700546
0.3093768377,0.4577952554,-0.6491867909,-2.742810182,0.6385189741,-46.68049067
0.4892723386,-1.376823585,-2.42605217,0.9498360735,0.3830205183,-89.80692368
-1.858433651,-0.737858566,-1.067167604,0.2588501439,-1.363196011,-115.6680814
-0.1679003393,-1.02243117,0.07156268153,-0.1003366433,-0.9878713141,-84.04957567
-0.07995007657,-0.1164761739,0.1086980794,0.6362270424,0.575539331,39.51105938
0.03157141285,0.02872952176,1.180703763,2.117044569,-0.2676223095,141.7186705
-1.037294686,-0.5899776525,0.4230624521,-0.305627584,0.6133879721,-94.59748535
-0.3584617296,1.527953147,1.412780476,0.2153580968,0.8879099051,208.5665039
-0.03838085129,-1.07160428,0.01218444854,0.9736020926,0.6241797786,-55.93690066
-0.971101859,0.3948557757,-0.6168709189,-0.5998384859,0.3518948723,-11.87791883
0.09411786386,-0.8197874636,0.7751139477,-1.45121776,0.4774097448,-133.4910164
-0.3900487907,0.9343657724,0.3524337487,1.110011485,-0.3461137358,105.3089754
-1.223192578,3.314244091,-0.3197057584,-1.624164794,-0.07527274582,201.2998318
0.4707348369,0.08084081473,1.247894469,0.3075122957,0.1375413709,25.21865025
-0.5061072125,1.665355284,-0.2340245744,-1.289901458,-0.2821216977,86.43648335
0.0001898007219,-1.574796449,0.7511475739,1.241351474,-0.4633861353,-71.20803693
1.727229912,0.5637725302,0.4864185189,0.6048568929,-0.06726755927,159.178738
0.1821377327,0.8066765622,-0.006850130513,-0.1922805449,0.4642744992,59.52334096
-0.453974389,-0.2055610901,0.7933744226,0.4461691272,0.1310530319,-13.12230406
0.2823720402,-1.543455497,0.6897124375,-1.706161955,0.2235523337,-244.6579359
-1.248580824,1.551314599,0.6542576034,0.5982802743,1.205509149,139.8415036
-0.5676412836,-1.582619845,-1.163669139,-0.2876443815,-0.07291383051,-192.5300032
0.3215122503,0.118840553,-0.03235079065,-1.121376283,1.92226837,-4.235562945
-0.1721898271,-0.8748606108,1.654875211,-0.7205641142,1.193727087,-129.2817375
0.4023943101,-0.6185546417,0.4739207881,1.186726092,-0.6659164277,11.96176565
-1.825751844,0.1952413537,0.5755490816,0.8351746535,-2.097267348,-1.025525796
0.1602032626,-0.2066467365,2.497344041,-0.2821440549,-0.4428482831,2.39862509
1.248682809,-0.4046530413,0.2712583241,-0.08767841776,1.139628498,-8.711299535
2.138829563,-1.618801986,0.4067764225,-0.1510768516,1.027867838,-100.3011012
0.5831413732,-1.108056034,0.2550050653,-1.215624428,-1.104155601,-113.6769715
0.7815346546,1.484598005,0.9433324016,-0.3103148222,-0.1013046808,188.4162451
1.497772799,-0.6531559646,-0.9267451859,-0.5222862191,1.288886677,-21.18061607
-0.9646688569,1.918677465,1.686388237,0.7881676906,-0.9194019256,239.8796457
-0.5989003956,0.04621124437,-0.05183888204,0.1987000945,0.44331612,22.77922046
-0.4705264883,-1.148442516,-0.3632767118,-0.6357787312,0.3504731141,-174.5132223
0.7050414194,0.00824337378,-0.6696651066,0.2975080165,0.3944448228,19.41196549
-0.2488484447,0.5018853983,-1.778777942,-0.06161168187,0.6370233058,27.21571925
0.150035563,-1.071469788,-1.818323922,1.125888764,3.305094,-43.20885581
-0.8108091372,1.926079893,0.8161958543,0.7160075916,-0.05611252358,193.9938409
-0.5387326273,-0.6854273956,1.692973397,-0.2328951093,0.4146585694,-29.89259194
0.6978587734,-0.8848308704,1.126228174,-0.9108892676,-0.06277794368,-117.970347
0.5285187452,0.01260489134,-1.283687827,1.714634874,0.2529726535,91.51498695
0.2002269979,0.897792512,-1.599000665,-0.2764373177,0.2019033684,54.95947491
0.9864742375,-0.6506676252,0.9799566474,-0.3186273916,0.7130466876,-5.741478351
0.2428565496,0.2804964987,-0.8972661738,-0.4639252588,0.4392458219,-28.25527381
-0.6123550096,-0.0004512295679,0.0859795412,-0.2761132903,-1.189382746,-34.47922637
0.7193735171,-0.8641003925,-1.003098656,1.300379267,2.050683979,-6.367137034
-0.5628549579,-0.6243343119,-0.3027113628,-0.7839398058,-1.046822736,-90.04234744
0.6454089534,-0.3504843686,-0.001763711901,-0.1642977231,0.9741237989,-4.275393952
-0.132698378,-0.8621796116,-1.382679242,0.04917489122,-1.073029565,-76.46842917
0.2678729462,-0.5791303374,-0.5362203378,-1.743532185,0.4787024376,-136.5033679
-1.061328873,-0.6882263254,-0.8306019134,1.177332864,-0.1990125475,-61.50374572
0.1414254498,-0.6657594584,-0.2902314681,1.693461532,0.7615409111,-30.37434678
1.302700994,-0.9668984744,-0.06197481732,-0.205015578,0.3076329786,-34.96014059
1.143019499,-1.448028146,-1.091550505,0.4434590762,-0.2262495246,-87.34946267
-1.485878831,0.205706477,0.7297313627,-0.761490119,-0.01597041446,-38.69903531
0.724558589,-0.7244845752,0.987897637,-0.7475460877,-2.742591832,-84.71055046
0.704542883,0.4705099218,-0.4227379953,-2.044630879,-0.03379720004,-24.13941304
1.046427725,0.978631839,0.1707074174,-0.5319419385,-1.19730089,113.5035802
-0.8638063854,-0.1576705042,-0.2739367716,0.4293931681,-0.1134708137,-9.796918601
0.607550038,0.6823181363,1.70920152,-0.9184296805,0.9051638129,60.45019353
1.275197805,-0.06522591586,-0.4132612591,-0.8973139357,1.584995018,6.780171043
1.520761482,0.06544344617,0.7401766639,-1.761105367,-0.2980208033,-36.99173069
0.5766627968,1.258845784,0.06317584588,0.8890659412,-1.628568158,185.2550489
0.2308557502,1.09744598,-0.6904990957,-0.8459098463,0.06770126951,23.56942507
1.079276084,-0.6307732018,-1.694009489,0.2019362303,0.963170899,-20.61577058
-0.2167954575,-0.2918633927,1.212719768,-1.57620405,-0.9518413389,-86.04652101
-1.392322821,-0.4269540233,0.07845581684,-0.397849459,0.2374508042,-60.19725878
0.9676184558,-0.138431458,-0.2604210133,0.0887373871,1.424358339,66.17392673
-1.038211426,-1.644702,-0.680914671,-1.445811274,-0.4931613439,-274.8150619
1.633189705,1.424802246,-0.4867003139,0.8501183746,-1.740455946,193.2796096
-2.241777439,-0.1591508957,0.06241406411,-0.3010457676,1.007918994,-64.75979403
0.8052021474,0.7535114274,-0.5851663621,-0.4828942999,0.1094063455,85.71659602
-1.296432431,0.840551031,1.447308937,0.597437547,-0.8296711408,88.80348894
1.068048517,-0.5232845637,0.6636188118,1.564230462,0.553143022,80.28994591
1.02674498,-0.1361987125,-0.0221541216,-0.0005190307202,0.4692345099,54.54163853
-0.02118007819,0.138428376,-1.472301117,0.008981946291,0.389605239,6.60676904
1.680623806,1.160556507,-1.316604492,-0.2588701026,0.3698638563,118.0158367
1.476276783,-0.2527459158,-1.904926256,0.7617843216,-1.817402737,21.19900998
2.279186266,0.8733166479,0.4975320231,0.5270097595,-0.1477620937,189.0389605
-0.8702896221,-0.3981971908,-1.119320394,-1.319960961,0.8491781437,-122.0908107
0.1456397549,0.03123054904,-1.446646201,0.1042066597,0.8357007533,13.41316705
-0.331374676,-1.991262508,1.896865836,-0.008264183049,0.01148953272,-154.2025221
0.1369904273,-0.2178321948,0.6425395512,-0.820754216,0.6098882633,-28.32175083
0.5996573694,-1.215358697,0.5072273423,0.7133324455,-0.7751903252,-60.68078076
-0.3262928039,0.01383475197,-1.890421724,-1.229983585,0.6188673851,-66.6195744
-1.044631941,1.821257405,1.788560957,0.9366766655,1.314471452,186.2940997
-0.04555685664,-1.295334124,0.519730371,-0.3374661081,-0.1945183849,-148.3294781
0.2771535436,1.613362817,0.3356485439,1.825586776,0.2798742059,233.1490869
0.2893962604,-0.3111661802,-0.473794673,0.8645540556,-0.864676536,45.93679325
-0.03780100725,-1.185877096,0.7069173031,0.6676977967,-0.5968758405,-49.35665669
1.781219037,-1.716428838,0.187562905,-0.4468035417,0.5151761796,-86.58111127
-0.7679783045,1.278090164,-0.3869008137,-0.02069889652,-0.8068683878,62.25574925
0.3997362463,-1.158877351,1.254213074,-0.9532281064,0.7729276939,-147.1002508
0.6015761553,-2.45134535,0.945628045,0.8396306002,0.7042133033,-170.1720895
-1.258951038,0.3153691028,0.8337883916,1.055681234,0.3924706378,46.38699302
0.333353098,-0.1308873253,1.415056392,0.3641023503,0.6784961844,56.69503746
-0.2118774183,1.319163293,-0.4309777566,-1.153640941,0.787866613,98.46050407
-0.02364696881,0.5159529119,-0.0241777612,-0.6993294057,0.7498562989,35.06881824
0.7261259461,0.5915157881,0.1738276732,0.1280014788,-1.379060122,77.0152347
0.4352097344,0.0951020336,1.088639284,1.050698858,0.4201623953,88.92543584
0.7055981493,0.4060855463,2.306670069,-1.77681764,-0.8227819799,15.43259604
0.7047045743,-0.009907896322,0.4479540615,2.461320233,-1.295240697,111.2751349
-0.1648693776,-1.160941907,-0.1945265187,-0.7576289912,0.5502528011,-135.9484757
0.6363370616,0.6284523584,0.1314658212,-1.692603841,0.2966565687,-26.47815344
-0.6431294108,0.01732394987,1.109447596,-0.6703241431,0.08937744906,-44.14202842
-0.3240503622,0.3042545238,0.3024062837,-0.0283874649,0.9699753047,34.27340722
-0.04946086717,0.8910230934,0.8013800298,1.686359138,0.4629229673,223.9255301
-1.371313499,-1.073688825,0.6048289276,-1.839189627,0.4748794863,-194.7375189
0.4460894286,0.8304332644,-0.6110843365,0.2791069404,-0.09175620885,93.82868538
-0.527065034,-1.361190861,-1.325738008,-0.8931548176,0.4876270964,-189.9283684
-0.704814293,-0.4476460744,0.3352829547,1.744081312,0.188652012,28.44555454
-0.9768069783,-1.160168813,-2.247193991,0.9007286868,0.1976325288,-78.68053784
-0.1615069435,-1.730304324,0.6400246285,0.9982544609,-0.8736475278,-97.22865426
0.678237724,0.6540727592,-0.01458053232,-0.2035831436,-0.4771798963,105.1673084
0.945052714,1.07454315,1.012242845,-0.4649684708,-0.6964062674,127.3032034
0.1079995288,-1.398436605,-0.8846701941,-1.46547948,0.5953807291,-190.6603708
-0.9083489424,0.2107965128,-1.112608051,-0.24773073,0.7769530272,-42.89304969
1.237829335,-0.3733018541,1.135735969,-1.509484226,0.7171420764,-78.42242304
0.1298873959,-1.789759034,-1.205960076,0.02246934203,1.957146199,-124.8047418
-0.4795697882,-0.5528853821,0.3174995339,-1.332221493,-1.528149573,-133.7430962
0.4963072417,0.7872054797,-1.349249115,0.2842922938,0.3999647371,91.432649
-0.4786985178,1.34732637,0.496023398,-0.5171504866,0.8470423874,94.46989086
-1.90972333,-0.02948169796,-1.350027188,1.341924111,1.435398275,11.16561912
0.5430577732,-1.144736966,-0.4619717224,1.660781251,0.2031804016,-27.56758199
0.4996237998,-1.898169446,-1.331180674,-1.190652329,0.01106387276,-269.7494642
0.440726217,-0.5902555782,-0.3389785437,0.7759299297,0.2014813811,3.444897943
0.1658633799,0.007823486885,-0.4491513784,1.249829386,-0.8784838058,21.72848882
0.5015320734,-0.5509204865,0.7394947138,0.3789428145,-2.463972205,-4.844116314
-1.347234423,-0.464696653,0.09218341733,-0.5719241354,-1.71304784,-114.5231816
-1.762527137,1.181153602,-0.5170721087,0.4904349766,-1.021321218,104.9316074
0.5874451042,0.5895523582,0.5292820885,0.778440625,-1.734572346,112.9104644
0.6754901841,-1.304099532,0.6556357496,-0.5372345,0.6864649093,-125.1160389
1.869152313,-0.5604876865,-0.8759042793,0.3353079793,-0.2667107182,28.13285334
-0.8962850534,-1.051839303,-0.5667327676,1.312322309,-0.07094879434,-75.22296046
-0.6642715333,-1.056928557,1.346374862,2.105849579,-0.4136864912,-27.65564672
0.1349859529,-1.476134389,0.7307153706,-0.05310228953,1.000208691,-122.1434654
1.904296679,-0.2139398907,0.1089138674,-1.013624072,0.5655942849,-35.04487705
-0.6061919082,1.997017308,-0.2657630326,-0.4626568439,-0.2582311825,138.1782537
-1.278549424,-0.1944635135,2.228597433,1.522384434,-0.168106765,43.80695179
-0.4193316667,-2.504768367,0.0725053813,-1.495607193,-1.100401931,-324.1878261
-1.814978832,0.9307831213,-0.4554611348,1.123593195,-1.373460153,59.99196606
-0.6998566037,-0.2666041546,1.748699272,0.4805152213,0.2198393216,-2.170326084
1.424054657,1.151660774,0.7223610659,0.6899317914,-0.04225282766,187.8967069
-0.8966702472,0.2826084658,0.1129860923,0.7156678441,0.1112917283,24.17280863
-1.438203716,-1.420069815,0.5921798625,0.551012851,-0.3275892641,-181.4560801
-0.8118974968,0.5792137785,-0.424536394,0.3128105125,-0.07646359102,70.36347546
-1.217215946,-1.490331596,0.2899948558,-1.006188392,0.2995515087,-217.4421348
-0.0350236258,-1.839776983,-0.5002618932,0.8776423269,0.3683039187,-170.7414584
0.1648616058,-0.7839759434,-0.8630077815,-0.02181419205,0.3014338092,-59.32239716
0.7737824615,0.5532382308,0.5459285301,-1.443262583,0.100340542,46.53836827
0.2923697249,-0.5618228046,1.465125102,1.484363934,-2.024322662,44.32914471
0.3895299119,-2.234317065,-0.2887158939,-0.1852148444,-1.186604008,-180.4985673
-1.47668408,0.87353305,1.64476782,-0.2020988419,-2.026190827,22.64423792
1.006216047,-1.261880061,-0.7897320826,0.7751488232,-1.83488696,-38.4835121
0.395738156,0.4683649977,0.0625750458,-0.8724886317,-0.5987678198,-0.4540179041
1.559659799,-0.8829825415,0.7815344269,0.8050143797,-0.6199996545,46.05814656
-0.6735364961,-0.6166527168,0.05734250086,0.2139875256,0.7003834784,-62.82994688
0.1648530015,-1.465279514,-0.6889522675,-1.107365821,1.287678802,-195.1559802
-0.02697491648,-0.319035852,0.2014324062,0.6010981065,0.6809732496,-21.51377358
-0.4165818846,-0.3596987988,0.02454337558,0.4973505771,0.5456689232,11.16519484
-0.5955953732,-1.189485828,-0.8610208402,-2.162169917,-1.091126615,-227.4916637
-1.09845564,0.1893844248,-1.061318256,-0.01204169336,1.441741775,3.35589139
1.403082504,-0.9661648572,0.04439735201,1.263882896,0.3549234377,42.02168743
0.4260529807,-0.4895743814,2.297997438,-0.6058247037,1.454403405,-21.68560808
-0.7868198089,1.486812158,0.4856393734,-0.0646365223,-0.1744306944,82.76959343
-1.106824719,1.619579997,-0.9709816497,0.8130013844,1.166394012,136.4934032
-0.3525395594,0.03873524745,0.7179793844,-0.6431276103,0.3310227556,-43.32668423
0.7835200194,-0.1134945319,-0.006744818028,1.583950976,-1.536657954,111.9421941
0.5919771112,1.591871881,-0.06424051087,-1.617894949,-1.53018088,122.7058843
0.5937592836,-0.7095648086,0.4384071693,-0.2404012004,1.85221964,-26.66275136
0.5901877203,0.05416054776,0.3890929363,0.6207640833,-0.150024675,99.56748249
-0.465022279,-0.4143100368,0.4369018923,-1.928175179,-0.1547055434,-136.9761989
-1.127249857,-0.09926690472,-0.684470191,0.2470972548,-0.5207605566,-31.15620627
0.8323374969,0.6544864342,-1.133217775,0.8569215361,1.324858944,145.9984906
-0.105504237,-0.6254904183,1.572441858,-1.509505122,-0.001111136161,-79.8645662
-1.447962069,-0.03897188405,0.2504519271,-0.2801078266,-0.8872448002,-18.76646682
-0.9059426772,1.016283484,-0.9160507864,-0.9792410016,-1.053227992,54.61679029
-0.7056766812,0.203963636,-1.510465238,-0.6568870279,1.641308658,-12.72473258
-1.642507473,0.6451325232,-1.668210057,0.4940182075,-0.6117387665,25.6676562
0.5669803346,0.4172836942,1.9425699,-1.302749903,0.78476661,18.26623028
-0.5864669278,0.402660846,-1.129985605,-0.3934307249,-1.72585429,37.37282709
1.175696906,-1.413558095,-0.2411569324,-0.8701410389,-0.4950031691,-124.0773602
-2.039965238,-2.27601041,-0.383036611,-0.7150157846,0.5512719211,-333.6429923
0.5684733792,1.427686831,-1.075319721,-0.2879494017,0.2520094655,122.8439591
-1.783636629,0.5934379518,0.176208213,0.9811998149,1.547197698,66.82809334
-0.9432916102,-1.050098097,-1.390724342,0.2346481106,0.8680195816,-118.9051447
0.3871224791,-2.303474011,0.294265647,-1.648319531,-1.63510275,-276.3481449
-0.09830237785,-1.417459436,1.306349083,1.85540313,2.022847377,-57.43372343
0.5098949689,1.883753867,-0.9072240633,-0.4024007442,0.1708293571,178.259421
-1.54204773,0.09332488666,-0.6637556872,0.9258508766,0.2601541884,18.75279738
-1.066276384,0.3226975931,0.2785274796,0.9386188421,1.818497008,59.48564046
-0.3927725385,0.04650990394,1.477544874,0.839412587,-1.594400059,72.59111664
-0.4254636079,0.7493154779,0.1106388347,0.5238536351,-1.88275803,45.6199825
2.020081821,-0.6328573199,0.6128738815,-0.6683744238,0.423666054,3.22301389
-0.6948578277,0.4559635573,1.078730619,0.825084365,-1.192258488,74.32175017
0.9525774929,-1.251992442,-1.378219038,-0.1294539534,-0.7011382633,-136.5748669
-0.2419549477,-0.704223676,0.06935152204,-1.063485765,0.2823367221,-133.1113289
0.9565969361,0.4578044347,-1.308398362,-2.081860302,0.321477991,-55.25095328
-0.636376494,-1.026062047,0.896366576,-1.424597819,-0.573913144,-156.9929139
-0.7532800241,-1.977097739,1.338387446,-0.3604171714,-0.3907789819,-188.4281263
0.2338479051,1.283645182,-1.53413275,0.9768961149,-0.296475456,166.1973408
0.9016058881,1.507992697,-0.8330414635,0.1961948021,0.2751007181,162.2320628
-0.3943800123,-0.7895884399,0.7455062191,0.9651659353,1.655353265,-31.54730161
-0.6367724001,-0.7100295968,0.1369816924,0.388793467,0.3282795116,-48.49853505
1.35789731,-0.9305816548,1.075384109,1.889086727,0.9083863423,31.90018295
-0.08019871618,0.7160620089,0.8048766405,0.2829257595,-0.5076773692,73.6260697
0.2913204679,-0.07091795631,-1.303555863,0.7984772112,-0.2364375513,48.8807584
0.5401825564,-0.09480840028,0.3591584544,-0.377789476,2.682958846,-39.09100105
-0.2855208143,1.32149772,-0.8469266161,0.9827125676,2.606567299,163.5826114
0.5162759238,-1.27227278,1.575403075,-0.492968305,1.399073637,-122.2760755
-1.098021757,0.6725734136,0.6035275312,0.183155246,-1.122595246,46.1183215
0.8320677509,0.2666306411,0.538766624,0.1093102379,-0.3944345976,65.48785645
1.233245087,0.0413600176,-1.379900438,1.157347903,1.508660193,60.74931935
-0.5916123365,0.621100982,0.5421321151,1.72788621,0.2976396057,150.1672607
1.139716488,-0.2429410691,-1.623092576,1.094704179,-0.275201756,48.33551212
0.3129315339,2.188650012,-0.5914047498,-1.903834314,-1.190713028,100.2318154
-0.01061785813,-0.5095806749,0.2199245778,0.2719143368,0.8999251083,9.597319836
-0.7897049673,0.1159289147,0.8423706443,0.7470425235,-0.1371911992,13.97769652
-0.9833889543,0.3600731125,1.243894422,-1.010885774,0.1163940381,2.64123402
0.3943730181,-0.1784179279,-1.993236184,0.6382244778,-0.6935767077,4.979735044
